function,optimizer,min_abs_loss,last_abs_loss,rank
Schwefel Function,SGDPolyakMomentum,0.0,,1.0
Schwefel Function,ProxYogi,0.0,,1.0
Schwefel Function,ProximalHB,0.0,,1.0
Schwefel Function,AdamQN,0.0,,1.0
Schwefel Function,AMSGradMirror,0.0,,1.0
Shubert Function,SGD,19.875831604003906,,1.0
Shubert Function,Adam,19.875831604003906,,1.0
Shubert Function,AdamW,19.875831604003906,,1.0
Shubert Function,RMSprop,19.875831604003906,,1.0
Shubert Function,Yogi,19.875831604003906,,1.0
Shubert Function,Rprop,19.875831604003906,,1.0
Shubert Function,RPropMomentum,19.875831604003906,,1.0
Shubert Function,RpropwithPolyak,19.875831604003906,,1.0
Shubert Function,SGDPolyakMomentum,19.875831604003906,,1.0
Shubert Function,ProxYogi,19.875831604003906,,1.0
Shubert Function,ProximalHB,19.875831604003906,,1.0
Shubert Function,AdamQN,19.875831604003906,,1.0
Shubert Function,AMSGradMirror,19.875831604003906,,1.0
Bohachevsky Function,SGD,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,Adam,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,AdamW,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,RMSprop,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,Yogi,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,Rprop,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,RPropMomentum,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,RpropwithPolyak,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,SGDPolyakMomentum,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,ProxYogi,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,ProximalHB,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,AdamQN,5.960464477539063e-08,5.960464477539063e-08,1.0
Bohachevsky Function,AMSGradMirror,5.960464477539063e-08,5.960464477539063e-08,1.0
"Perm Function 0 (d=2, β=0)",Rprop,0.023930029943585396,0.024545619264245033,1.0
"Perm Function 0 (d=2, β=0)",RpropwithPolyak,0.023930029943585396,0.024545619264245033,1.0
"Perm Function 0 (d=2, β=0)",RPropMomentum,0.023931704461574554,0.023934997618198395,3.0
"Perm Function 0 (d=2, β=0)",ProximalHB,0.02393956109881401,0.18962208926677704,4.0
"Perm Function 0 (d=2, β=0)",SGD,0.024674320593476295,0.5071873068809509,5.0
"Perm Function 0 (d=2, β=0)",SGDPolyakMomentum,29.02592658996582,29.02592658996582,6.0
"Perm Function 0 (d=2, β=0)",ProxYogi,29.224672317504883,29.224672317504883,7.0
"Perm Function 0 (d=2, β=0)",RMSprop,32.02231216430664,32.02231216430664,8.0
"Perm Function 0 (d=2, β=0)",AMSGradMirror,32.87994384765625,32.87994384765625,9.0
"Perm Function 0 (d=2, β=0)",AdamQN,33.20459747314453,33.20459747314453,10.0
"Perm Function 0 (d=2, β=0)",Adam,33.363853454589844,33.363853454589844,11.0
"Perm Function 0 (d=2, β=0)",AdamW,33.364013671875,33.364013671875,12.0
"Perm Function 0 (d=2, β=0)",Yogi,33.367942810058594,33.367942810058594,13.0
Rotated Hyper-Ellipsoid Function,SGD,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,Adam,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,AdamW,0.0,0.0,1.0
Rotated Hyper-Ellipsoid Function,RMSprop,0.0,0.0,1.0
